content;sentence_length_group;ipaTranscription;arpabetTranscription;wordCount;charCountNoSpaces;charCountTotal;difficultyLevel;translationRu
Which club do you belong to?;small;wˈɪt͡ʃ klˈʌb dˈu jˈu bɪlˈɔŋ tə ‖;wɪtʃ klʌb duː juː bᵻlɔŋ tuː;6;23;28;2;
My previous boss was a woman.;medium;mˈaɪ pɹˈiviəs bˈɔs wəz ə wˈʊmən;maɪ pɹiːviəs bɔs wʌzɐ wʊmən;6;24;29;2;
At the table sat a man, a woman, and a girl.;large;ˈæt ðə tˈeɪbəl sˈæt ə mˈæn | ə wˈʊmən | ˈænd ə ɡˈɚl;æt ðə teɪbəl sæt ɐ mæn ɐ wʊmən ænd ɐ ɡɜːl;11;34;44;3;
People eat frankfurters, meatballs and potato salad on New Year's Eve in Finland.;large;pˈipəl ˈit fɹˈæŋkfɚtɚz | mˈitbˌɔlz ˈænd pətˈeɪtoʊ sˈæləd ˈɔn njˈu jˈɪɹz ˈiv ˈɪn fˈɪnlənd;piːpəl iːt fɹæŋkfɜːɾɚz miːtbɔːlz ænd pəteɪɾoʊ sæləd ɔn nuː jɪɹz iːv ɪn fɪnlənd;13;69;81;3;
No room is currently available.;medium;nˈoʊ ɹˈum ˈɪz kˈɚəntli əvˈeɪləbəl;noʊ ɹuːm ɪz kɜːɹəntli ɐveɪləbəl;5;27;31;2;
Fuck the universe.;small;fˈʌk ðə jˈunəvˌɚs;fʌk ðə juːnɪvɜːs;3;16;18;1;
There's often rice or pasta for lunch.;medium;ðˈɛɹz ˈɔftən ɹˈaɪs ˈɔɹ pˈɑstə fɚ lˈʌnt͡ʃ;ðɛɹz ɔfən ɹaɪs ɔːɹ pɑːstə fɔːɹ lʌntʃ;7;32;38;2;
Lunch is often rice or pasta.;medium;lˈʌnt͡ʃ ˈɪz ˈɔftən ɹˈaɪs ˈɔɹ pˈɑstə;lʌntʃ ɪz ɔfən ɹaɪs ɔːɹ pɑːstə;6;24;29;2;
Fortunately, Tom did not get seriously hurt.;large;fˈɔɹt͡ʃənɪtli | tˈɑm dˈɪd nˈɑt ɡˈɛt sˈɪɹiəsli hˈɚt;fɔːɹtʃənətli tɑːm dɪdnɑːt ɡɛt sɪɹiəsli hɜːt;7;38;44;2;
Fortunately, Tom survived the accident.;medium;fˈɔɹt͡ʃənɪtli | tˈɑm sɚvˈaɪvd ðə ˈæksədənt;fɔːɹtʃənətli tɑːm sɚvaɪvd ðɪ æksɪdənt;5;35;39;2;
We ate pancakes and maple syrup for breakfast.;large;wˈi ˈeɪt pˈæŋkˌeɪks ˈænd mˈeɪpəl sˈɚəp fɚ bɹˈɛkfəst;wiː eɪt pæŋkeɪks ænd meɪpəl sɪɹʌp fɔːɹ bɹɛkfəst;8;39;46;2;
To my surprise, the anthropologist was accused of murder.;large;tə mˈaɪ səpɹˈaɪz | ðə ˌænθɹəpˈɑləd͡ʒɪst wəz əkjˈuzd əv mˈɚdɚ;tə maɪ sɚpɹaɪz ðɪ ænθɹəpɑːlədʒɪst wʌz ɐkjuːzd ʌv mɜːdɚ;9;49;57;3;
Every why has its because.;small;ˈɛvɹi wˈaɪ hˈæz ˈɪts bɪkˈʌz;ɛvɹi waɪ hɐz ɪts bɪkʌz;5;22;26;2;
Everything's good at home.;small;ˈɛvɹiθˌɪŋz ɡˈʊd ˈæt hˈoʊm;ɛvɹɪθɪŋz ɡʊd æt hoʊm;4;23;26;1;
A skull shaped asteroid flew by the Earth on Halloween.;large;ə skˈʌl ʃˈeɪpt ˈæstɚˌɔɪd flˈu bˈaɪ ðə ˈɚθ ˈɔn hˌæləwˈin;ɐ skʌl ʃeɪpt æstɚɹɔɪd fluː baɪ ðɪ ɜːθ ɔn hæloʊiːn;10;46;55;3;
I felt embarrassed at first.;small;ˈaɪ fˈɛlt ɪmbˈɛɹəst ˈæt fˈɚst;aɪ fɛlt ɛmbæɹəst æt fɜːst;5;24;28;2;
"First you squander your health to acquire money; then your money to get your health back.";large;fˈɚst jˈu skwˈɑndɚ jˈʊɹ hˈɛlθ tə əkwˈaɪɚ mˈʌni | ðˈɛn jˈʊɹ mˈʌni tə ɡˈɛt jˈʊɹ hˈɛlθ bˈæk;fɜːst juː skwɑːndɚ jʊɹ hɛlθ tʊ ɐkwaɪɚ mʌni ðɛn jʊɹ mʌni tə ɡɛt jʊɹ hɛlθ bæk;16;74;89;3;
I have something to do first.;medium;ˈaɪ hˈæv sˈʌmθɪŋ tə dˈu fˈɚst;aɪ hæv sʌmθɪŋ tə duː fɜːst;6;24;29;2;
We need a plan first.;small;wˈi nˈid ə plˈæn fˈɚst;wiː niːd ɐ plæn fɜːst;5;17;21;2;
Tom was the only one who came to the party.;large;tˈɑm wəz ðə ˈoʊnli wˈʌn hˈu kˈeɪm tə ðə pˈɑɹti;tɑːm wʌzðɪ oʊnli wʌn huː keɪm tə ðə pɑːɹɾi;10;34;43;3;
The Tuaregs begin their day by milking their goats.;large;ðə t͡ʃuˈɑɹəɡz bɪɡˈɪn ðˈɛɹ dˈeɪ bˈaɪ mˈɪlkɪŋ ðˈɛɹ ɡˈoʊts;ðə twɑːɹɹɛɡz bɪɡɪn ðɛɹ deɪ baɪ mɪlkɪŋ ðɛɹ ɡoʊts;9;43;51;3;
Lemons are usually sour.;small;lˈɛmənz ˈɑɹ jˈuʒəli sˈaʊɚ;lɛmənz ɑːɹ juːʒuːəli saʊɚ;4;21;24;1;
How do you tighten a screw, clockwise or counterclockwise?;large;hˈaʊ dˈu jˈu tˈaɪtən ə skɹˈu | klˈɑkwˌaɪz ˈɔɹ kˌaʊntɚklˈɑkwaɪz ‖;haʊ duː juː taɪʔn̩ ɐ skɹuː klɑːkwaɪz ɔːɹ kaʊntɚklɑːkwaɪz;9;50;58;3;
Put your shoes on.;small;pˈʊt jˈʊɹ ʃˈuz ˈɔn;pʊt jʊɹ ʃuːz ɔn;4;15;18;1;
Don't make such a sour face!;small;dˈoʊnt mˈeɪk sˈʌt͡ʃ ə sˈaʊɚ fˈeɪs ‖;doʊnt meɪk sʌtʃ ɐ saʊɚ feɪs;6;23;28;2;
Why don't we all take off our shoes?;medium;wˈaɪ dˈoʊnt wˈi ˈɔl tˈeɪk ˈɔf ˈaʊɚ ʃˈuz ‖;waɪ doʊnt wiː ɔːl teɪk ɔf aʊɚ ʃuːz;8;29;36;2;
Get your clothes on.;small;ɡˈɛt jˈʊɹ klˈoʊðz ˈɔn;ɡɛt jʊɹ kloʊðz ɔn;4;17;20;1;
Take your shoes off.;small;tˈeɪk jˈʊɹ ʃˈuz ˈɔf;teɪk jʊɹ ʃuːz ɔf;4;17;20;1;
Put your shoes on.;small;pˈʊt jˈʊɹ ʃˈuz ˈɔn;pʊt jʊɹ ʃuːz ɔn;4;15;18;1;
Censorship is not always a bad thing.;medium;sˈɛnsɚʃˌɪp ˈɪz nˈɑt ˈɔlwˌeɪz ə bˈæd θˈɪŋ;sɛnsɚʃɪp ɪz nɑːt ɔːlweɪz ɐ bæd θɪŋ;7;31;37;2;
Time is not money. - Time is life.;medium;tˈaɪm ˈɪz nˈɑt mˈʌni ‖ tˈaɪm ˈɪz lˈaɪf;taɪm ɪz nɑːt mʌni taɪm ɪz laɪf;8;27;34;2;
Time is a mystery.;small;tˈaɪm ˈɪz ə mˈɪstɚi;taɪm ɪz ɐ mɪstɚɹi;4;15;18;1;
